Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Name,Segment,Region,State,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-10000,2023-04-13,2023-04-14,Same Day,Customer_224,Consumer,West,New York,Office Supplies,Binders,60.97,4.0,0.0,14.23
ORD-10001,2024-03-11,2024-03-12,Standard Class,Customer_109,Corporate,West,Texas,Office Supplies,Art,96.44,,0.4,-4.22
ORD-10002,2023-09-28,2023-09-29,Standard Class,Customer_188,Consumer,East,Ohio,Office Supplies,Labels,41.07,12.0,0.1,6.36
ORD-10003,2023-04-17,2023-04-20,First Class,Customer_76,Home Office,East,Georgia,Furniture,Tables,173.74,13.0,0.15,48.38
ORD-10004,2023-03-13,2023-03-19,Standard Class,Customer_17,Corporate,West,Pennsylvania,Office Supplies,Storage,32.94,2.0,0.1,9.67
ORD-10005,2024-12-01,2024-12-04,Standard Class,Customer_47,Corporate,West,Florida,Furniture,Tables,90.59,5.0,0.0,34.31
ORD-10006,2023-01-21,2023-01-27,Standard Class,Customer_216,Consumer,West,Illinois,Office Supplies,Art,31.32,8.0,0.1,1.62
ORD-10007,2024-09-06,2024-09-07,Standard Class,Customer_298,Corporate,Central,Florida,Office Supplies,Storage,64.36,7.0,0.0,19.82
ORD-10008,2023-05-02,2023-05-07,Standard Class,Customer_68,Corporate,West,Georgia,Office Supplies,Labels,68.31,7.0,0.15,10.87
ORD-10009,2024-04-11,2024-04-17,Second Class,Customer_168,Home Office,South,Texas,Office Supplies,Binders,43.77,6.0,0.1,8.04
ORD-10010,2023-08-03,2023-08-07,Standard Class,Customer_144,Consumer,South,Florida,Furniture,Chairs,393.04,3.0,0.2,53.76
ORD-10011,2023-11-27,2023-12-01,Second Class,Customer_22,Consumer,South,Illinois,Office Supplies,Paper,48.38,5.0,0.0,12.57
ORD-10012,2024-04-03,2024-04-05,Standard Class,Customer_128,Consumer,East,Washington,Office Supplies,Art,51.72,13.0,0.0,18.99
ORD-10013,2023-03-29,2023-04-04,Standard Class,Customer_96,Consumer,East,Michigan,Office Supplies,Art,66.15,1.0,0.1,21.25
ORD-10014,2024-01-08,2024-01-13,,Customer_71,Corporate,East,Florida,Technology,Accessories,403.66,7.0,0.4,17.93
ORD-10015,2023-04-10,2023-04-13,Same Day,Customer_243,Home Office,West,Washington,Furniture,Furnishings,,9.0,,11.44
ORD-10016,2024-10-25,2024-10-26,Standard Class,Customer_218,Consumer,South,Washington,Office Supplies,Storage,149.42,1.0,0.1,62.75
ORD-10017,2023-05-11,2023-05-13,Second Class,Customer_246,Home Office,West,New York,Office Supplies,Storage,54.76,13.0,0.1,19.23
ORD-10018,2024-10-23,2024-10-27,Standard Class,Customer_161,Consumer,Central,Michigan,Office Supplies,Art,24.55,2.0,0.0,
ORD-10019,2023-11-05,2023-11-08,Standard Class,Customer_200,Consumer,Central,Pennsylvania,Office Supplies,Art,68.84,,0.5,-9.54
ORD-10020,2023-12-10,2023-12-13,Standard Class,Customer_246,Consumer,East,Illinois,Office Supplies,Binders,154.3,3.0,0.15,49.69
ORD-10021,2024-05-06,2024-05-07,Standard Class,Customer_227,Consumer,Central,Ohio,Technology,Machines,220.59,8.0,0.0,94.99
ORD-10022,2024-02-18,2024-02-24,Standard Class,Customer_175,Home Office,South,Georgia,Office Supplies,Storage,178.46,7.0,0.15,18.23
ORD-10023,2024-01-21,2024-01-25,Standard Class,Customer_123,Consumer,Central,Ohio,Office Supplies,Paper,86.2,6.0,0.0,37.66
ORD-10024,2023-07-11,2023-07-16,First Class,Customer_29,Corporate,East,Florida,Office Supplies,Storage,9.39,10.0,0.4,-0.21
ORD-10025,2023-10-04,2023-10-07,Standard Class,Customer_207,Consumer,West,Michigan,Office Supplies,Binders,186.79,10.0,0.0,52.51
